event_id,event_date,region,event_type,account_name,value,note
EVT-5001,2025-08-01,North,complaint,,,wrong item
EVT-5002,2025-08-01,South,complaint,,,damaged item
EVT-5003,2025-08-02,East,complaint,,,billing issue
EVT-5004,2025-08-02,North,complaint,,,billing issue
EVT-5005,2025-08-02,South,complaint,,,wrong item
EVT-5006,2025-08-03,East,complaint,,,late delivery
EVT-5007,2025-08-03,North-West,complaint,,,late delivery
EVT-5008,2025-08-03,South,complaint,,,billing issue
EVT-5009,2025-08-03,West,complaint,,,billing issue
EVT-5010,2025-08-04,North-West,complaint,,,billing issue
EVT-5011,2025-08-04,South,complaint,,,damaged item
EVT-5012,2025-08-05,North,complaint,,,damaged item
EVT-5013,2025-08-05,North,complaint,,,wrong item
EVT-5014,2025-08-06,North-West,complaint,,,damaged item
EVT-5015,2025-08-06,North-West,complaint,,,late delivery
EVT-5016,2025-08-06,North-West,complaint,,,late delivery
EVT-5017,2025-08-06,West,complaint,,,billing issue
EVT-5018,2025-08-07,East,complaint,,,damaged item
EVT-5019,2025-08-07,North,complaint,,,wrong item
EVT-5020,2025-08-07,North-West,complaint,,,billing issue
EVT-5021,2025-08-07,North-West,complaint,,,damaged item
EVT-5022,2025-08-07,South,complaint,,,damaged item
EVT-5023,2025-08-08,East,complaint,,,damaged item
EVT-5024,2025-08-08,North,complaint,,,late delivery
EVT-5025,2025-08-08,South,complaint,,,damaged item
EVT-5026,2025-08-09,North-West,complaint,,,late delivery
EVT-5027,2025-08-09,West,complaint,,,late delivery
EVT-5028,2025-08-10,North,complaint,,,billing issue
EVT-5029,2025-08-11,North-West,complaint,,,billing issue
EVT-5030,2025-08-11,South,complaint,,,late delivery
EVT-5031,2025-08-12,North,complaint,,,billing issue
EVT-5032,2025-08-12,North-West,complaint,,,billing issue
EVT-5033,2025-08-13,East,complaint,,,damaged item
EVT-5034,2025-08-14,North-West,complaint,,,billing issue
EVT-5035,2025-08-14,North-West,complaint,,,late delivery
EVT-5036,2025-08-14,North-West,complaint,,,damaged item
EVT-5037,2025-08-14,South,complaint,,,late delivery
EVT-5038,2025-08-16,North,complaint,,,billing issue
EVT-5039,2025-08-16,North-West,complaint,,,billing issue
EVT-5040,2025-08-17,North-West,complaint,,,damaged item
EVT-5041,2025-08-18,North,complaint,,,late delivery
EVT-5042,2025-08-18,North,complaint,,,damaged item
EVT-5043,2025-08-18,North-West,complaint,,,wrong item
EVT-5044,2025-08-18,North-West,complaint,,,damaged item
EVT-5045,2025-08-18,North-West,complaint,,,damaged item
EVT-5046,2025-08-18,North-West,complaint,,,wrong item
EVT-5047,2025-08-19,North,complaint,,,wrong item
EVT-5048,2025-08-19,South,complaint,,,billing issue
EVT-5049,2025-08-19,West,complaint,,,damaged item
EVT-5050,2025-08-21,East,complaint,,,late delivery
EVT-5051,2025-08-21,South,complaint,,,billing issue
EVT-5052,2025-08-22,North,complaint,,,late delivery
EVT-5053,2025-08-22,North,complaint,,,damaged item
EVT-5054,2025-08-22,North,complaint,,,billing issue
EVT-5055,2025-08-22,North-West,complaint,,,wrong item
EVT-5056,2025-08-22,West,complaint,,,wrong item
EVT-5057,2025-08-23,North-West,complaint,,,late delivery
EVT-5058,2025-08-24,East,complaint,,,damaged item
EVT-5059,2025-08-24,North,complaint,,,wrong item
EVT-5060,2025-08-24,North-West,complaint,,,late delivery
EVT-5061,2025-08-24,South,complaint,,,late delivery
EVT-5062,2025-08-25,South,complaint,,,wrong item
EVT-5063,2025-08-25,West,complaint,,,late delivery
EVT-5064,2025-08-26,South,complaint,,,billing issue
EVT-5065,2025-08-26,West,complaint,,,damaged item
EVT-5066,2025-08-27,East,complaint,,,damaged item
EVT-5067,2025-08-27,East,complaint,,,late delivery
EVT-5068,2025-08-27,South,complaint,,,wrong item
EVT-5069,2025-08-28,West,complaint,,,late delivery
EVT-5070,2025-08-29,North-West,complaint,,,late delivery
EVT-5071,2025-08-29,North-West,complaint,,,damaged item
EVT-5072,2025-08-29,West,complaint,,,damaged item
EVT-5073,2025-08-30,North-West,complaint,,,wrong item
EVT-5074,2025-08-31,South,complaint,,,wrong item
EVT-5075,2025-09-02,North-West,complaint,,,billing issue
EVT-5076,2025-09-03,North,complaint,,,wrong item
EVT-5077,2025-09-03,West,complaint,,,late delivery
EVT-5078,2025-09-04,North,complaint,,,billing issue
EVT-5079,2025-09-06,East,complaint,,,billing issue
EVT-5080,2025-09-06,East,complaint,,,billing issue
EVT-5081,2025-09-06,North-West,complaint,,,billing issue
EVT-5082,2025-09-07,North-West,complaint,,,late delivery
EVT-5083,2025-09-07,South,complaint,,,wrong item
EVT-5084,2025-09-07,West,complaint,,,late delivery
