week_start,region,spend,sessions,conversions
2025-08-04,North,76699.0,9518,313
2025-08-04,North-West,122134.0,14989,470
2025-08-04,South,88342.0,11372,376
2025-08-04,East,47790.0,6565,213
2025-08-04,West,74203.0,9268,297
2025-08-11,North,73184.0,9467,304
2025-08-11,North-West,126580.0,15437,483
2025-08-11,South,95993.0,11457,389
2025-08-11,East,47203.0,6170,192
2025-08-11,West,73562.0,9603,312
2025-08-18,North,74384.0,9356,307
2025-08-18,North-West,119442.0,15620,512
2025-08-18,South,85231.0,11791,375
2025-08-18,East,50953.0,6234,203
2025-08-18,West,71149.0,9069,291
2025-08-25,North,71662.0,9524,300
2025-08-25,North-West,122972.0,16509,517
2025-08-25,South,86297.0,11992,375
2025-08-25,East,49943.0,6191,195
2025-08-25,West,69006.0,9476,311
2025-09-01,North,64961.0,9641,297
2025-09-01,North-West,118547.0,15310,480
2025-09-01,South,89441.0,11686,364
2025-09-01,East,48434.0,6254,200
2025-09-01,West,69450.0,9692,311
2025-09-08,North,72018.0,8553,277
2025-09-08,North-West,120540.0,15928,509
2025-09-08,South,88895.0,11297,356
2025-09-08,East,46470.0,6402,206
2025-09-08,West,74556.0,8820,282
2025-09-15,North,80756.0,9313,305
2025-09-15,North-West,120815.0,16561,496
2025-09-15,South,91140.0,11231,356
2025-09-15,East,50226.0,6460,208
2025-09-15,West,72717.0,9441,297
2025-09-22,North,75087.0,8893,279
2025-09-22,North-West,116318.0,16581,503
2025-09-22,South,92269.0,11922,374
2025-09-22,East,47057.0,6077,197
2025-09-22,West,75280.0,9338,299
2025-09-29,North,71595.0,9137,292
2025-09-29,North-West,127089.0,15025,469
2025-09-29,South,89931.0,11699,377
2025-09-29,East,47650.0,6254,199
2025-09-29,West,75881.0,9098,289
2025-10-06,North,76308.0,9402,304
2025-10-06,North-West,120908.0,15371,509
2025-10-06,South,97909.0,11742,381
2025-10-06,East,47956.0,6455,209
2025-10-06,West,68935.0,9276,287
2025-10-13,North,77202.0,9513,304
2025-10-13,North-West,123602.0,16496,516
2025-10-13,South,95056.0,11210,361
2025-10-13,East,49037.0,6236,208
2025-10-13,West,72632.0,9449,296
2025-10-20,North,72649.0,9320,303
2025-10-20,North-West,121177.0,14870,461
2025-10-20,South,94598.0,11095,352
2025-10-20,East,46476.0,6052,194
2025-10-20,West,76708.0,9223,303
2025-10-27,North,72100.0,9422,307
2025-10-27,North-West,123514.0,15619,500
2025-10-27,South,86644.0,11351,370
2025-10-27,East,50912.0,6396,196
2025-10-27,West,73443.0,9637,309
2025-11-03,North,72881.0,9399,313
2025-11-03,North-West,116865.0,15250,472
2025-11-03,South,86926.0,11227,366
2025-11-03,East,45507.0,5946,192
2025-11-03,West,72465.0,9451,301
2025-11-10,North,72683.0,8992,284
2025-11-10,North-West,130899.0,15181,494
2025-11-10,South,89424.0,11628,371
2025-11-10,East,48909.0,6368,210
2025-11-10,West,74711.0,9063,289
2025-11-17,North,73415.0,8851,280
2025-11-17,North-West,113028.0,15374,501
2025-11-17,South,91705.0,11496,361
2025-11-17,East,47840.0,6280,195
2025-11-17,West,72742.0,8828,272
2025-11-24,North,69484.0,9224,278
2025-11-24,North-West,124462.0,14848,469
2025-11-24,South,87834.0,11614,364
2025-11-24,East,50546.0,6325,205
2025-11-24,West,72992.0,9511,311
2025-12-01,North,71821.0,9290,295
2025-12-01,North-West,123893.0,15145,510
2025-12-01,South,88403.0,11389,373
2025-12-01,East,47560.0,6153,200
2025-12-01,West,73458.0,9517,302
2025-12-08,North,74105.0,9057,284
2025-12-08,North-West,125795.0,15958,503
2025-12-08,South,89214.0,11570,355
2025-12-08,East,48412.0,6441,198
2025-12-08,West,76009.0,8873,285
2025-12-15,North,71464.0,8938,280
2025-12-15,North-West,126429.0,14553,466
2025-12-15,South,88890.0,11361,357
2025-12-15,East,50832.0,6097,197
2025-12-15,West,74516.0,9153,281
2025-12-22,North,73494.0,9204,271
2025-12-22,North-West,120943.0,16031,522
2025-12-22,South,92267.0,10957,344
2025-12-22,East,51334.0,6441,203
2025-12-22,West,70512.0,9573,311
2025-12-29,North,72760.0,9220,297
2025-12-29,North-West,121788.0,15191,488
2025-12-29,South,85209.0,11309,357
2025-12-29,East,51563.0,6179,200
2025-12-29,West,70209.0,9630,299
2026-01-05,North,72298.0,9202,291
2026-01-05,North-West,129218.0,15719,495
2026-01-05,South,92925.0,11379,366
2026-01-05,East,47620.0,6108,194
2026-01-05,West,75993.0,9683,305
2026-01-12,North,75778.0,9316,307
2026-01-12,North-West,125440.0,16545,517
2026-01-12,South,92405.0,11280,371
2026-01-12,East,49227.0,5783,188
2026-01-12,West,77043.0,9321,289
2026-01-19,North,77670.0,8949,294
2026-01-19,North-West,119964.0,15735,490
2026-01-19,South,93608.0,11495,367
2026-01-19,East,48934.0,6346,198
2026-01-19,West,75995.0,8925,289
2026-01-26,North,75313.0,9441,286
2026-01-26,North-West,124555.0,15085,505
2026-01-26,South,88427.0,11382,358
2026-01-26,East,50843.0,6171,200
2026-01-26,West,75227.0,9063,292
2026-02-02,North,73169.0,9882,319
2026-02-02,North-West,126142.0,14896,474
2026-02-02,South,91226.0,11651,381
2026-02-02,East,50706.0,6282,208
2026-02-02,West,71595.0,9733,316
2026-02-09,North,74989.0,9639,309
2026-02-09,North-West,122212.0,15418,484
2026-02-09,South,96049.0,11498,365
2026-02-09,East,50519.0,6490,207
2026-02-09,West,76580.0,9506,303
2026-02-16,North,69946.0,9067,287
2026-02-16,North-West,125158.0,15572,506
2026-02-16,South,90608.0,11221,372
2026-02-16,East,52744.0,6635,215
2026-02-16,West,76016.0,9251,295
2026-02-23,North,74402.0,9878,319
2026-02-23,North-West,115992.0,14564,479
2026-02-23,South,85580.0,11505,375
2026-02-23,East,47316.0,6464,213
2026-02-23,West,71934.0,9517,300
2026-03-02,North,74332.0,9708,311
2026-03-02,North-West,125877.0,15102,468
2026-03-02,South,97871.0,12281,407
2026-03-02,East,48481.0,6303,198
2026-03-02,West,71058.0,9360,313
2026-03-09,North,74126.0,9512,304
2026-03-09,North-West,125754.0,15434,514
2026-03-09,South,89477.0,11439,360
2026-03-09,East,49073.0,6186,185
2026-03-09,West,70924.0,9469,306
2026-03-16,North,75699.0,8886,290
2026-03-16,North-West,126820.0,15133,463
2026-03-16,South,88954.0,11855,384
2026-03-16,East,49336.0,6256,204
2026-03-16,West,75128.0,9238,295
2026-03-23,North,71842.0,9771,321
2026-03-23,North-West,124147.0,15445,487
2026-03-23,South,89305.0,10911,343
2026-03-23,East,48146.0,6338,197
2026-03-23,West,74274.0,9894,321
2026-03-30,North,71505.0,9798,305
2026-03-30,North-West,121912.0,16531,537
2026-03-30,South,91407.0,11429,368
2026-03-30,East,47192.0,6395,208
2026-03-30,West,76104.0,9175,279
2026-04-06,North,75801.0,9325,293
2026-04-06,North-West,119864.0,16194,508
2026-04-06,South,89801.0,11777,389
2026-04-06,East,47679.0,6278,208
2026-04-06,West,73438.0,9522,302
2026-04-13,North,74372.0,9349,295
2026-04-13,North-West,128096.0,16183,521
2026-04-13,South,90331.0,11385,359
2026-04-13,East,50187.0,6283,204
2026-04-13,West,72744.0,9381,291
2026-04-20,North,77207.0,8855,290
2026-04-20,North-West,123148.0,15642,481
2026-04-20,South,92355.0,12159,389
2026-04-20,East,46125.0,6514,206
2026-04-20,West,72421.0,9342,316
2026-04-27,North,73960.0,9137,307
2026-04-27,North-West,120691.0,16345,513
2026-04-27,South,95365.0,11019,352
