ship_date,region,shipments,avg_delivery_days,sla_breaches
2025-08-01,East,32,2.68,3
2025-08-01,North,44,2.76,4
2025-08-01,North-West,74,2.55,3
2025-08-01,South,40,2.46,3
2025-08-01,West,43,2.62,3
2025-08-02,East,17,2.59,2
2025-08-02,North,39,2.81,2
2025-08-02,North-West,74,2.45,3
2025-08-02,South,50,2.61,1
2025-08-02,West,43,2.69,4
2025-08-03,East,27,2.21,3
2025-08-03,North,36,2.5,1
2025-08-03,North-West,74,2.63,5
2025-08-03,South,42,2.75,5
2025-08-03,West,43,2.71,4
2025-08-04,East,30,2.41,2
2025-08-04,North,37,2.81,3
2025-08-04,North-West,61,2.7,7
2025-08-04,South,59,2.76,7
2025-08-04,West,37,2.71,2
2025-08-05,East,33,2.67,3
2025-08-05,North,34,2.72,5
2025-08-05,North-West,62,2.59,6
2025-08-05,South,37,2.65,2
2025-08-05,West,46,2.64,5
2025-08-06,East,30,2.41,2
2025-08-06,North,33,2.41,3
2025-08-06,North-West,65,2.45,4
2025-08-06,South,47,2.46,4
2025-08-06,West,41,2.75,4
2025-08-07,East,20,2.66,1
2025-08-07,North,47,2.43,2
2025-08-07,North-West,64,2.69,7
2025-08-07,South,50,2.67,4
2025-08-07,West,51,2.72,1
2025-08-08,East,22,2.55,3
2025-08-08,North,38,2.46,2
2025-08-08,North-West,52,2.7,5
2025-08-08,South,43,2.61,5
2025-08-08,West,27,2.46,4
2025-08-09,East,27,2.88,2
2025-08-09,North,26,2.53,1
2025-08-09,North-West,68,2.65,4
2025-08-09,South,48,2.68,3
2025-08-09,West,38,2.55,4
2025-08-10,East,32,2.86,1
2025-08-10,North,34,2.57,2
2025-08-10,North-West,62,2.63,4
2025-08-10,South,42,2.54,4
2025-08-10,West,46,2.65,2
2025-08-11,East,22,2.64,2
2025-08-11,North,32,2.66,4
2025-08-11,North-West,65,2.55,9
2025-08-11,South,50,2.57,1
2025-08-11,West,54,2.42,6
2025-08-12,East,38,2.45,4
2025-08-12,North,42,2.36,5
2025-08-12,North-West,79,2.73,3
2025-08-12,South,51,2.78,3
2025-08-12,West,41,2.5,3
2025-08-13,East,22,2.44,0
2025-08-13,North,39,2.52,4
2025-08-13,North-West,61,2.98,3
2025-08-13,South,52,2.87,6
2025-08-13,West,42,2.51,2
2025-08-14,East,25,2.75,1
2025-08-14,North,44,2.52,4
2025-08-14,North-West,65,2.53,3
2025-08-14,South,34,2.87,5
2025-08-14,West,33,2.55,2
2025-08-15,East,39,2.43,1
2025-08-15,North,35,2.61,2
2025-08-15,North-West,73,2.43,5
2025-08-15,South,44,2.47,3
2025-08-15,West,52,2.62,2
2025-08-16,East,19,2.41,1
2025-08-16,North,33,2.54,5
2025-08-16,North-West,82,2.87,6
2025-08-16,South,61,2.34,10
2025-08-16,West,31,2.73,1
2025-08-17,East,28,2.7,1
2025-08-17,North,24,2.72,2
