order_id,order_date,region,segment,category,account,order_value
ORD-100001,2025-08-01,North,consumer,electronics,,1632.26
ORD-100002,2025-08-01,North,consumer,electronics,,3191.46
ORD-100003,2025-08-01,North,consumer,fashion,,3100.01
ORD-100004,2025-08-01,North,consumer,grocery,,2459.43
ORD-100005,2025-08-01,North,consumer,fashion,,3414.52
ORD-100006,2025-08-01,North,consumer,fashion,,2820.76
ORD-100007,2025-08-01,North,consumer,grocery,,1626.64
ORD-100008,2025-08-01,North,consumer,grocery,,2731.88
ORD-100009,2025-08-01,North,consumer,electronics,,1537.01
ORD-100010,2025-08-01,North,consumer,electronics,,3190.61
ORD-100011,2025-08-01,North,consumer,grocery,,2355.07
ORD-100012,2025-08-01,North,consumer,grocery,,2233.62
ORD-100013,2025-08-01,North,consumer,grocery,,1787.16
ORD-100014,2025-08-01,North,consumer,fashion,,3500.29
ORD-100015,2025-08-01,North,consumer,grocery,,2260.92
ORD-100016,2025-08-01,North,consumer,grocery,,2014.5
ORD-100017,2025-08-01,North,consumer,grocery,,2083.08
ORD-100018,2025-08-01,North,consumer,electronics,,2879.08
ORD-100019,2025-08-01,North,consumer,electronics,,2728.9
ORD-100020,2025-08-01,North,consumer,grocery,,2771.46
ORD-100021,2025-08-01,North,consumer,electronics,,2787.74
ORD-100022,2025-08-01,North,consumer,grocery,,4327.48
ORD-100023,2025-08-01,North,consumer,fashion,,2034.23
ORD-100024,2025-08-01,North,consumer,electronics,,1938.98
ORD-100025,2025-08-01,North,consumer,electronics,,1667.6
ORD-100026,2025-08-01,North,consumer,electronics,,2954.38
ORD-100027,2025-08-01,North,consumer,electronics,,3416.08
ORD-100028,2025-08-01,North,consumer,grocery,,2297.45
ORD-100029,2025-08-01,North,consumer,grocery,,1643.86
ORD-100030,2025-08-01,North,consumer,fashion,,1657.97
ORD-100031,2025-08-01,North,consumer,grocery,,2985.53
ORD-100032,2025-08-01,North,consumer,grocery,,3068.93
ORD-100033,2025-08-01,North,consumer,fashion,,2888.84
ORD-100034,2025-08-01,North,consumer,electronics,,1801.04
ORD-100035,2025-08-01,North,consumer,electronics,,2608.95
ORD-100036,2025-08-01,North,consumer,electronics,,2505.02
ORD-100037,2025-08-01,North,consumer,fashion,,2596.82
